course_id	result_id	name	date	dist(km)	climb(m)	score
313	70	Captain Cooks Race	1-1-2010	8.8	229.0	2448.002381
497	71	Giants Tooth	1-1-2010	4.8	122.0	3407.018839
498	72	Nine Standards	1-1-2010	12.9	549.0	4336.004434
830	363	Birnam Hill Classic	6-3-2010	6.4	530.0	3954.993718
389	88	Black Combe	6-3-2010	12.9	1036.0	1843.007597
831	364	Deuchary Hill Canter	7-3-2010	17.7	792.0	964.999282
815	366	Carlton Challenge	20-4-2010	8.0	259.0	2383.990063
585	303	Anniversary Waltz	24-4-2010	18.5	1097.0	3506.997948
213	368	Llantysilio	24-4-2010	10.0	640.0	3837.997058
584	302	Teenager With Altitude	24-4-2010	24.8	2316.0	1750.008976
729	374	Pentyrch	27-4-2010	11.3	488.0	2042.992126
436	78	Ashurst Beacon	28-4-2010	9.5	290.0	11366.998734
281	376	Lords Seat	28-4-2010	8.0	427.0	1954.991125
712	378	Red Kite Challenge	1-5-2010	18.5	610.0	2717.012359
670	380	Crowden Horseshoe	2-5-2010	12.9	518.0	1875.002174
568	381	Great Hameldon	2-5-2010	9.7	335.0	2521.993135
427	310	Coiners	3-5-2010	11.3	335.0	2319.005487
569	394	Dockray - Hartside	5-5-2010	9.7	610.0	1432.993979
169	390	Flower Scar	5-5-2010	6.4	427.0	2723.999986
701	399	Lothersdale	5-5-2010	5.8	183.0	1430.005684
588	391	Tigers Todger	5-5-2010	9.7	268.0	1734.024921
263	82	Belmont Winter Hill	8-5-2010	7.2	305.0	721.999685
711	396	Carneddau	8-5-2010	14.8	1280.0	3104.998513
337	397	Cressbrook Crawl	8-5-2010	10.5	335.0	5775.000124
622	400	Jack Bloor Race	11-5-2010	8.4	351.0	3280.008163
223	401	Caradoc Classic	12-5-2010	5.6	268.0	2382.036947
589	76	Rainow 5	12-5-2010	8.0	229.0	1871.014851
696	407	Annalong Horseshoe	15-5-2010	20.9	1585.0	1655.998145
214	408	Cribyn	15-5-2010	8.8	945.0	1082.017717
519	87	Mount Famine	15-5-2010	8.0	564.0	2126.994276
362	410	Creg-ny-baa	16-5-2010	16.1	823.0	3955.997977
333	412	Fox & Hounds Chase	18-5-2010	14.5	457.0	1282.993044
520	80	Stanhill	18-5-2010	8.0	244.0	2055.996772
571	413	Totley Moor	18-5-2010	8.0	442.0	6900.001332
758	96	Blackstone Edge	19-5-2010	5.6	366.0	1701.00561
521	101	Goyts Moss	19-5-2010	11.3	427.0	2613.01469
702	99	Kildwick	19-5-2010	6.0	244.0	1504.001667
432	414	Latrigg	19-5-2010	4.8	290.0	2034.988625
684	415	Durris Mast	20-5-2010	8.8	305.0	4102.002564
291	100	Glaramara	23-5-2010	8.0	640.0	2933.004354
522	417	Coppice	25-5-2010	8.0	183.0	11239.005131
437	115	Harrock Hill 1	26-5-2010	8.4	274.0	4972.016246
685	118	Isle Of Jura	29-5-2010	25.7	2286.0	1710.007518
275	237	New Dungeon Ghyll	29-5-2010	5.6	640.0	2242.993445
292	333	Helvellyn	30-5-2010	17.7	1372.0	2387.986008
372	112	Austwick Amble	31-5-2010	12.9	366.0	1445.980996
373	541	Bamford Sheepdog Trials	31-5-2010	7.2	305.0	3112.012967
345	419	Ossy Oiks	1-6-2010	13.7	549.0	3046.002152
524	120	Paddys Pole	1-6-2010	6.1	351.0	2023.993381
293	420	Two Riggs	1-6-2010	10.5	411.0	200039.99991
443	402	Batch Bash	2-6-2010	4.8	305.0	180.733436
174	217	Blencathra	2-6-2010	12.9	823.0	1721.985939
433	124	Otley Chevin	2-6-2010	5.6	274.0	1432.016739
300	218	Hendersons End	3-6-2010	9.3	244.0	1493.007153
560	222	Alwinton	5-6-2010	22.5	884.0	2281.001383
242	423	Duddon	5-6-2010	29.0	1829.0	2284.999021
686	425	Glas Tulaichean Uphill Race	5-6-2010	7.2	671.0	2328.001487
224	216	Pen Y Ghent	5-6-2010	9.5	503.0	1820.032155
225	430	Wharfedale Off Road 1/2 Marathon	5-6-2010	20.9	701.0	3161.01485
525	209	Wincle Trout Run	5-6-2010	8.8	274.0	1205.01126
302	213	Edenfield	6-6-2010	12.1	488.0	135120.00003
197	432	Mallerstang & Nine Standards Yomp	6-6-2010	37.0	1326.0	5667.005265
608	433	Shining Cliff Woods 3	6-6-2010	7.9	323.0	2431.99577
198	211	Boars Head	9-6-2010	12.9	403.0	3804.002945
265	214	Calver Peak	9-6-2010	8.0	274.0	2673.99969
249	438	Holcombe Two Towers	9-6-2010	6.4	396.0	11280.015159
390	125	Hebden Bridge	10-6-2010	9.5	351.0	3221.995442
849	212	Barley Cabin	11-6-2010	6.4	305.0	2800.989271
760	452	Foel Fras	12-6-2010	19.3	945.0	1148.988459
240	224	St Ives Trail	15-6-2010	8.0	152.0	2178.997414
215	240	Up The Beast	15-6-2010	7.2	457.0	3112.998267
388	403	Rodneys Pillar Handicap Race	16-6-2010	6.3	290.0	2223.000528
528	446	40th Great Hill Race	19-6-2010	9.3	396.0	7672.004908
227	230	Buckden Pike	19-6-2010	6.4	457.0	3773.002378
266	239	Great Lakes Run	19-6-2010	20.9	2134.0	2067.998537
709	453	Moel Hebog	19-6-2010	6.4	732.0	933.034995
466	232	Reservoir Bogs	19-6-2010	12.1	457.0	2256.001709
572	258	Hunshelf Amble	20-6-2010	11.3	396.0	3053.996589
267	243	Settle Hills	20-6-2010	11.3	533.0	1955.991439
844	448	Sutton Pinnacles	20-6-2010	9.3	271.0	1253.005312
561	248	Windy Gyle	20-6-2010	14.5	549.0	3930.027452
304	464	Beacon Batch	22-6-2010	8.0	305.0	1434.014275
228	252	Calton	22-6-2010	8.8	244.0	2231.993441
438	249	Harrock Hill 2	23-6-2010	8.4	274.0	3532.999168
458	266	Langstrath	23-6-2010	7.2	427.0	2596.003042
385	404	Pontesbury	23-6-2010	4.8	354.0	1273.009253
657	244	Riber Run	23-6-2010	8.0	305.0	2215.996882
658	468	Jon Clarke Memorial Race	25-6-2010	5.0	244.0	10125.01899
532	287	Tideswell	25-6-2010	7.1	259.0	2266.001513
177	472	Eldwick Gala	26-6-2010	4.8	168.0	7624.037778
306	251	Whaley Waltz	26-6-2010	9.3	274.0	12316.006171
367	325	Arnison Dash	27-6-2010	3.2	305.0	3350.003717
659	283	Cronkley	27-6-2010	16.9	534.0	3015.997643
268	278	Hope Wakes	30-6-2010	9.5	451.0	2502.01055
178	286	Chevy Chase	3-7-2010	32.2	1219.0	3597.998065
539	282	Cliffhanger	3-7-2010	4.0	105.0	2284.999532
269	466	Tockholes	3-7-2010	9.3	335.0	1407.0053
294	264	Skiddaw	4-7-2010	14.5	823.0	3286.006166
378	259	Hathersage Gala	5-7-2010	7.2	320.0	2330.998144
238	353	Saltwell Harriers	6-7-2010	8.8	305.0	4725.999513
652	411	Reston Scar Scamper	7-7-2010	6.0	300.0	2459.995524
703	257	Stirton	7-7-2010	8.8	366.0	700.998854
660	443	Bull Hill	8-7-2010	8.8	335.0	3524.9978
853	274	Addingham Gala	10-7-2010	9.3	305.0	2347.999824
845	267	Baildon Carnival	10-7-2010	5.6	137.0	2051.018037
750	272	Thurlstone Chase	10-7-2010	6.4	244.0	1370.015807
253	285	Warton Crag	10-7-2010	9.3	183.0	2070.996963
576	280	Wasdale	10-7-2010	33.8	2743.0	10881.003949
180	284	Bollington Nostalgia Race	11-7-2010	11.4	366.0	1153.994951
415	268	Broomhead Chase	11-7-2010	5.6	244.0	1793.017005
379	354	Peak Forest	11-7-2010	9.7	198.0	16384.999976
277	279	Waughs Well	13-7-2010	6.4	305.0	1896.014052
384	406	Stiperstones	14-7-2010	5.1	244.0	2440.013659
181	290	Widdop	14-7-2010	11.3	366.0	3044.991096
231	332	Beacon Hill	15-7-2010	9.7	457.0	1807.008864
380	291	Coniston Country Fair	18-7-2010	9.7	732.0	3741.99713
545	293	Holme Moss	18-7-2010	27.4	1219.0	8658.010213
548	299	Blisco Dash	21-7-2010	8.0	610.0	2472.000367
