result_id	race_id
1615	1739
345	396
346	255
347	672
342	623
343	382
348	609
594	1045
2318	3336
2316	2899
2315	3190
299	548
297	757
293	545
290	181
291	380
3777	4468
272	750
274	853
278	268
279	277
2268	2980
2442	3368
2443	3231
2441	3071
2447	3018
2444	2870
2448	3127
100	291
101	521
2045	2455
2042	2594
2043	2499
2040	2756
2041	2474
3154	4287
3516	4711
3514	4346
1436	1750
99	702
3394	4477
1993	2270
3204	4428
1995	2719
1626	1763
1997	2585
1996	2214
1629	1970
1431	1979
2864	3465
2865	3665
2866	3483
2867	3732
2868	4030
2869	3675
557	220
556	407
551	261
552	646
3340	4555
3341	4166
1195	1823
3344	4277
1758	1560
1757	2028
1752	1748
1750	2164
1175	1828
1174	1786
1171	2075
1170	2037
1178	1982
644	1301
1287	1848
1281	1618
1283	1706
1282	1820
515	635
879	1345
1289	1613
1288	1960
514	626
876	980
1579	1738
689	1207
688	1147
1572	1771
1571	1734
1570	1947
1577	2154
627	1380
625	1046
624	1373
2035	2383
1373	2084
1374	2125
2744	3934
3834	5139
453	709
3833	4753
1245	2085
378	712
374	729
376	281
403	388
391	588
390	169
397	337
396	711
394	569
399	701
2305	3253
2304	3083
2307	3246
3748	4448
3749	4478
3745	4446
244	657
240	215
243	267
249	438
248	561
2274	3372
2277	2823
2272	3171
2278	2994
2459	3169
2455	3063
2454	2801
646	1329
2453	2815
2051	2593
2053	2711
2055	2181
2057	2431
3691	4551
3692	4262
3693	4141
654	1243
655	1372
650	989
651	1208
3523	4396
1601	1589
2699	3289
2698	3030
2692	3159
1972	2424
3232	4203
3230	4509
3234	4572
1619	1949
1964	2502
1612	1566
1961	2570
2873	3708
2872	3743
2871	3476
2870	3620
2875	3635
2874	3562
1595	1704
3350	4261
3359	4413
3358	4338
1768	1658
1761	2166
1767	1128
1142	1986
1143	1547
1140	1656
1789	1728
768	918
769	1401
336	577
1546	1668
1544	1633
1542	1536
1543	1754
1540	1757
1541	2145
699	1095
1549	1663
542	704
762	988
541	373
547	674
548	705
549	649
760	1188
1784	1742
2968	3736
414	432
415	684
417	522
1388	1594
1389	1889
412	333
413	571
1384	1826
1385	1722
1386	1605
419	345
3826	4112
3825	4549
3821	4475
3820	4274
3828	4655
2768	3923
1254	1686
368	213
366	815
364	831
363	830
361	475
380	670
381	568
382	439
384	271
3759	4512
3750	4324
3756	4624
2190	2305
2191	2264
2192	2844
2193	2448
2194	3404
2195	2794
2196	2419
252	228
251	306
257	703
2201	2967
2202	2892
2208	3244
96	758
2428	3361
2429	2885
2423	3329
2424	3305
2427	3373
3689	4314
3681	4422
3684	4438
2519	3441
2515	3245
2516	2810
2510	3212
2511	3367
2734	3815
2737	3997
2730	4013
2738	3772
3535	4304
3536	4299
3538	4102
1815	2285
1816	2226
1817	2340
1810	2524
670	1394
671	1467
3229	4148
3225	4557
1600	2049
1602	1590
1605	2064
1971	2283
1970	2734
809	913
803	1143
802	898
801	1360
800	880
806	1375
805	1474
804	1413
2847	3671
3323	4250
3324	4251
3326	4486
3328	4318
1779	1908
1551	1667
1159	1874
1155	1844
1157	1769
1156	1824
1153	1448
1152	1983
2998	3638
2999	3871
1553	1644
1552	1614
1555	1880
1556	2150
3037	3973
2995	3865
537	640
2990	3891
532	402
531	655
3036	3824
2996	4042
2997	3552
1905	2345
536	679
1903	2404
3292	4452
1396	2051
1395	2038
1901	2403
854	1012
855	1226
530	549
258	572
2180	2320
2184	2508
2189	2452
2188	2631
222	560
2217	2304
2216	1877
2433	2902
2432	3156
2431	3232
2430	3110
2436	3036
2435	3198
2434	3003
2508	3136
2507	3052
2504	3407
2503	3175
2727	3696
2726	3873
2724	3949
2722	3724
2720	3474
2729	3718
1806	2521
3781	3831
3789	4394
1809	2723
1808	2415
1941	2167
3255	4415
3257	4682
819	1383
810	1251
811	1348
1990	2437
2853	3684
2852	3470
2855	3721
1621	1961
2857	4076
2856	3523
3332	4130
3331	4128
3330	4267
1498	1555
1627	1688
3339	4559
3338	4533
224	240
423	242
1702	1647
1703	1751
1624	1557
1128	1231
1129	1285
1628	1969
1120	636
1126	1288
3029	3613
3028	3796
3027	3946
3025	4045
524	562
525	193
1018	997
522	610
523	368
1014	894
1015	1022
1017	996
1010	1486
1011	1130
1012	1118
1013	1035
1234	1602
1235	1553
1232	1944
1233	1615
438	249
439	594
432	197
433	608
430	225
3808	4738
3804	4449
558	1290
554	648
3163	4497
995	1385
996	885
238	844
239	266
237	275
230	227
2945	3566
232	466
990	1204
2226	3150
2225	3322
2223	2663
2221	2419
120	524
2539	3351
2532	3066
124	433
2530	3125
2536	3189
2537	3019
2534	2800
125	390
2710	3678
2711	3956
2716	3531
2714	3840
