course_id	result_id	name	date	dist(km)	climb(m)	winning_time(s)	score
313	70	Captain Cooks Race	1-1-2010	8.8	229.0	2066.000000	1.323094
497	71	Giants Tooth	1-1-2010	4.8	122.0	1097.000000	1.355269
498	72	Nine Standards	1-1-2010	12.9	549.0	3524.000000	1.435504
830	363	Birnam Hill Classic	6-3-2010	6.4	530.0	2384.000000	1.215263
389	88	Black Combe	6-3-2010	12.9	1036.0	4089.000000	1.550718
831	364	Deuchary Hill Canter	7-3-2010	17.7	792.0	3838.000000	1.211421
815	366	Carlton Challenge	20-4-2010	8.0	259.0	2052.000000	1.348057
585	303	Anniversary Waltz	24-4-2010	18.5	1097.0	5862.000000	1.461443
213	368	Llantysilio	24-4-2010	10.0	640.0	3077.000000	1.342712
584	302	Teenager With Altitude	24-4-2010	24.8	2316.0	9911.000000	1.377481
729	374	Pentyrch	27-4-2010	11.3	488.0	2717.000000	1.370403
436	78	Ashurst Beacon	28-4-2010	9.5	290.0	2142.000000	1.38116
281	376	Lords Seat	28-4-2010	8.0	427.0	2043.000000	1.327662
712	378	Red Kite Challenge	1-5-2010	18.5	610.0	4255.000000	1.403407
670	380	Crowden Horseshoe	2-5-2010	12.9	518.0	3955.000000	1.344093
568	381	Great Hameldon	2-5-2010	9.7	335.0	2366.000000	1.316785
427	310	Coiners	3-5-2010	11.3	335.0	2861.000000	1.345412
569	394	Dockray - Hartside	5-5-2010	9.7	610.0	3105.000000	1.343503
169	390	Flower Scar	5-5-2010	6.4	427.0	1734.000000	1.370993
701	399	Lothersdale	5-5-2010	5.8	183.0	1433.000000	1.34121
588	391	Tigers Todger	5-5-2010	9.7	268.0	1910.000000	1.446582
263	82	Belmont Winter Hill	8-5-2010	7.2	305.0	2122.000000	1.294316
711	396	Carneddau	8-5-2010	14.8	1280.0	5775.000000	1.406522
337	397	Cressbrook Crawl	8-5-2010	10.5	335.0	2724.000000	1.335098
622	400	Jack Bloor Race	11-5-2010	8.4	351.0	2382.000000	1.386129
223	401	Caradoc Classic	12-5-2010	5.6	268.0	1387.000000	1.405741
589	76	Rainow 5	12-5-2010	8.0	229.0	1961.000000	1.360935
696	407	Annalong Horseshoe	15-5-2010	20.9	1585.0	7063.000000	1.38404
214	408	Cribyn	15-5-2010	8.8	945.0	3280.000000	1.474987
519	87	Mount Famine	15-5-2010	8.0	564.0	2433.000000	1.515492
362	410	Creg-ny-baa	16-5-2010	16.1	823.0	4102.000000	1.53612
333	412	Fox & Hounds Chase	18-5-2010	14.5	457.0	3956.000000	1.318879
520	80	Stanhill	18-5-2010	8.0	244.0	1850.000000	1.314056
571	413	Totley Moor	18-5-2010	8.0	442.0	2119.000000	1.351274
758	96	Blackstone Edge	19-5-2010	5.6	366.0	1701.000000	1.432065
521	101	Goyts Moss	19-5-2010	11.3	427.0	2613.000000	1.463447
702	99	Kildwick	19-5-2010	6.0	244.0	1504.000000	1.392431
432	414	Latrigg	19-5-2010	4.8	290.0	1088.000000	1.441923
684	415	Durris Mast	20-5-2010	8.8	305.0	2295.000000	1.382148
291	100	Glaramara	23-5-2010	8.0	640.0	2933.000000	1.497118
522	417	Coppice	25-5-2010	8.0	183.0	2035.000000	1.26327
437	115	Harrock Hill 1	26-5-2010	8.4	274.0	1857.000000	1.398474
685	118	Isle Of Jura	29-5-2010	25.7	2286.0	12516.000000	1.518897
