index	name	date	distance_km	climb_m
313	Captain Cooks Race	1-1-2010	8.8	229.0
497	Giants Tooth	1-1-2010	4.8	122.0
221	Hillforts And Headaches	1-1-2010	4.8	311.0
441	Morning After	1-1-2010	8.0	274.0
498	Nine Standards	1-1-2010	12.9	549.0
357	St Johns Fell	1-1-2010	4.8	274.0
412	Kymin Winter Race	9-1-2010	6.3	351.0
479	Ovenden	9-1-2010	12.9	366.0
606	Shining Cliff Woods 1	10-1-2010	10.5	358.0
158	Trig Point	10-1-2010	24.1	457.0
358	Greeba Fell	16-1-2010	14.5	762.0
480	White Holme Circular	17-1-2010	19.3	366.0
567	Box Hill	23-1-2010	12.1	549.0
282	Black Hill And Beck	24-1-2010	12.1	351.0
483	Soreen Stanbury Splash	24-1-2010	11.3	366.0
272	Blake Fell	30-1-2010	7.2	518.0
501	Tigger Tor	31-1-2010	15.3	533.0
457	Jarrett Jaunt - Handicap Event	6-2-2010	7.2	457.0
387	Titterstone Clee	6-2-2010	4.0	229.0
477	Wadsworth Half Trog	6-2-2010	14.5	457.0
478	Wadsworth Trog	6-2-2010	32.2	1219.0
160	Charnwood Hills	7-2-2010	22.5	366.0
564	K.g.s.m.r.	7-2-2010	9.7	396.0
386	Long Mynd Valleys	7-2-2010	18.5	1372.0
161	Mickledon Straddle	7-2-2010	22.2	604.0
241	Sidmouth 4 Trigs Challenge	7-2-2010	25.7	914.0
818	Tarren Hendre	13-2-2010	9.7	610.0
681	tiso Carnethy 5	13-2-2010	10.0	762.0
316	Castleton Beacon	14-2-2010	12.9	335.0
295	Winter Hill	14-2-2010	17.7	838.0
359	Glen Mona Horseshoe	20-2-2010	11.3	655.0
209	Moel Y Ci	20-2-2010	8.0	290.0
557	Ilkley Moor	21-2-2010	8.0	384.0
503	Bleasdale Circle	27-2-2010	8.0	381.0
495	Inov-8 High Cup Nick	27-2-2010	14.5	457.0
675	Longtown	27-2-2010	5.1	351.0
162	Noonstone	27-2-2010	14.5	701.0
317	Commondale Clart	28-2-2010	9.7	305.0
450	Sedbergh 3 Peaks	2-3-2010	5.8	462.0
163	High Peak Marathon	5-3-2010	67.6	1646.0
830	Birnam Hill Classic	6-3-2010	6.4	530.0
389	Black Combe	6-3-2010	12.9	1036.0
435	Carding Mill Canter	6-3-2010	6.4	549.0
273	Half Tour Of Pendle	6-3-2010	14.5	686.0
210	Pipe Dream	6-3-2010	8.0	518.0
692	Slieve Gullion	6-3-2010	6.4	305.0
682	Bishop Hill	7-3-2010	4.0	305.0
504	Chew Valley Skyline	7-3-2010	20.9	610.0
621	Cloud Nine	7-3-2010	14.5	381.0
831	Deuchary Hill Canter	7-3-2010	17.7	792.0
700	Haworth Hobble - Wuthering Hike	13-3-2010	53.1	1341.0
728	Moel Wnion	13-3-2010	9.7	732.0
360	Snaefell	13-3-2010	8.0	579.0
481	Windmills Whizz	13-3-2010	11.3	244.0
314	Clay Bank East	14-3-2010	9.7	335.0
505	Ian Roberts	14-3-2010	9.5	274.0
296	Wolfs Pit	14-3-2010	9.3	491.0
683	Chapelgill	20-3-2010	3.2	457.0
506	Fiendsdale	20-3-2010	12.1	762.0
469	Middlefell	20-3-2010	10.6	518.0
819	Yr Aran	20-3-2010	16.1	762.0
559	Brough Law	21-3-2010	8.0	381.0
507	Don Morrison Memorial Edale Skyline	21-3-2010	33.8	1372.0
508	Wirksworth Incline	21-3-2010	6.4	183.0
453	Causey Pike	27-3-2010	7.2	543.0
714	Llangynhafal Loop	27-3-2010	7.6	533.0
509	Midgley Moor	27-3-2010	8.0	381.0
318	Blakey Blitz	28-3-2010	15.3	722.0
283	Doctors Gate	28-3-2010	9.7	320.0
669	Lads Leap	28-3-2010	9.5	518.0
563	Wrekin	28-3-2010	8.8	518.0
416	Trunce 1	29-3-2010	6.8	168.0
164	Harry Aspinall Liver Hill	30-3-2010	8.0	244.0
297	Askham	3-4-2010	13.7	549.0
445	Half Manx Mountain Marathon	3-4-2010	20.9	792.0
446	Manx Mountain Marathon	3-4-2010	50.7	2438.0
551	Pendle	3-4-2010	7.2	457.0
663	Rivington Pike	3-4-2010	5.2	213.0
165	Exe To Axe	4-4-2010	32.2	1219.0
607	Shining Cliffs 2	4-4-2010	7.9	323.0
485	Bunny Run 1	6-4-2010	4.8	91.0
298	Loughrigg	7-4-2010	6.4	305.0
693	Silent Valley	10-4-2010	15.3	1494.0
425	Wardle Skyline	10-4-2010	11.3	381.0
319	Gisborough Moors	11-4-2010	20.1	792.0
486	Bunny Run 2	13-4-2010	4.8	91.0
166	Joe Barber Herod Farm	14-4-2010	4.8	335.0
167	Coledale Horseshoe	17-4-2010	14.5	914.0
212	Moelwyn Three Peaks	17-4-2010	16.9	853.0
510	Really Wild Boar	17-4-2010	8.0	427.0
1402	Screel	17-4-2010	6.4	396.0
511	Mow Cop	18-4-2010	11.3	366.0
417	Trunce 2	19-4-2010	6.8	168.0
487	Bunny Run 3	20-4-2010	4.8	91.0
815	Carlton Challenge	20-4-2010	8.0	259.0
451	The Front Five	20-4-2010	9.7	674.0
280	Grisedale Grind	21-4-2010	4.0	475.0
222	Wrekin Streak	21-4-2010	4.4	247.0
168	Hartcliff Hill	22-4-2010	4.0	152.0
361	Carraghan Fell	23-4-2010	4.0	335.0
585	Anniversary Waltz	24-4-2010	18.5	1097.0
213	Llantysilio	24-4-2010	10.0	640.0
471	Puma Hawkshead Trail	24-4-2010	15.0	445.0
584	Teenager With Altitude	24-4-2010	24.8	2316.0
340	Three Peaks	24-4-2010	38.6	1372.0
512	Cheviot Summit	25-4-2010	9.7	816.0
488	Bunny Run 4	27-4-2010	4.8	91.0
729	Pentyrch	27-4-2010	11.3	488.0
436	Ashurst Beacon	28-4-2010	9.5	290.0
281	Lords Seat	28-4-2010	8.0	427.0
513	Coniston	1-5-2010	14.5	1067.0
712	Red Kite Challenge	1-5-2010	18.5	610.0
409	Stuc A Chroin 5000	1-5-2010	22.5	1524.0
246	The Cake Race	1-5-2010	13.7	518.0
670	Crowden Horseshoe	2-5-2010	12.9	518.0
568	Great Hameldon	2-5-2010	9.7	335.0
713	Ras Y Diafol	2-5-2010	29.0	792.0
323	Cock Howe North East	3-5-2010	9.7	366.0
427	Coiners	3-5-2010	11.3	335.0
514	Wray Caton Moor	3-5-2010	10.9	335.0
569	Dockray - Hartside	5-5-2010	9.7	610.0
169	Flower Scar	5-5-2010	6.4	427.0
701	Lothersdale	5-5-2010	5.8	183.0
588	Tigers Todger	5-5-2010	9.7	268.0
262	Pinhaw Moor	7-5-2010	8.0	213.0
263	Belmont Winter Hill	8-5-2010	7.2	305.0
170	Bollington Festival 3 Peaks	8-5-2010	8.8	366.0
171	Buttermere Sailbeck Horseshoe	8-5-2010	15.3	1417.0
711	Carneddau	8-5-2010	14.8	1280.0
337	Cressbrook Crawl	8-5-2010	10.5	335.0
455	Latterbarrow Loop	8-5-2010	3.9	183.0
172	Pendle Cloughs	8-5-2010	22.5	1189.0
418	Trunce 3	10-5-2010	6.8	168.0
371	Burbage Skyline	11-5-2010	9.3	366.0
622	Jack Bloor Race	11-5-2010	8.4	351.0
431	Mearley Clough	11-5-2010	5.6	366.0
223	Caradoc Classic	12-5-2010	5.6	268.0
589	Rainow 5	12-5-2010	8.0	229.0
517	Churn Milk Chase	14-5-2010	6.1	213.0
696	Annalong Horseshoe	15-5-2010	20.9	1585.0
214	Cribyn	15-5-2010	8.8	945.0
518	Fairfield Horseshoe	15-5-2010	14.5	914.0
519	Mount Famine	15-5-2010	8.0	564.0
442	Bluebell Run	16-5-2010	8.0	366.0
839	Cheddar Chase	16-5-2010	12.9	335.0
362	Creg-ny-baa	16-5-2010	16.1	823.0
833	Surrey Hills Race A	16-5-2010	29.0	773.0
834	Surrey Hills Race B	16-5-2010	16.1	386.0
835	Surrey Hills Race C	16-5-2010	9.7	223.0
333	Fox & Hounds Chase	18-5-2010	14.5	457.0
520	Stanhill	18-5-2010	8.0	244.0
571	Totley Moor	18-5-2010	8.0	442.0
758	Blackstone Edge	19-5-2010	5.6	366.0
521	Goyts Moss	19-5-2010	11.3	427.0
702	Kildwick	19-5-2010	6.0	244.0
432	Latrigg	19-5-2010	4.8	290.0
684	Durris Mast	20-5-2010	8.8	305.0
720	Lletty	22-5-2010	14.5	884.0
250	Old Counties Tops	22-5-2010	59.5	3048.0
291	Glaramara	23-5-2010	8.0	640.0
284	Handicap Race - Cancelled	23-5-2010	9.7	335.0
419	Trunce 4	24-5-2010	6.8	168.0
522	Coppice	25-5-2010	8.0	183.0
437	Harrock Hill 1	26-5-2010	8.4	274.0
842	Vanessa Chappell	26-5-2010	9.0	401.0
817	Cader Idris	29-5-2010	16.9	914.0
573	Hutton Roof Crags	29-5-2010	11.3	396.0
676	Iroc Night Fell Race	29-5-2010	9.0	427.0
685	Isle Of Jura	29-5-2010	25.7	2286.0
275	New Dungeon Ghyll	29-5-2010	5.6	640.0
292	Helvellyn	30-5-2010	17.7	1372.0
523	Ilkley Trail	30-5-2010	10.5	213.0
677	Iroc Day Fell Race	30-5-2010	14.0	671.0
247	Saddleworth	30-5-2010	4.8	290.0
372	Austwick Amble	31-5-2010	12.9	366.0
373	Bamford Sheepdog Trials	31-5-2010	7.2	305.0
828	Mynydd Myfyr	31-5-2010	6.4	152.0
173	Shutlingsloe  & Junior Champs Races	31-5-2010	3.2	274.0
345	Ossy Oiks	1-6-2010	13.7	549.0
524	Paddys Pole	1-6-2010	6.1	351.0
293	Two Riggs	1-6-2010	10.5	411.0
443	Batch Bash	2-6-2010	4.8	305.0
174	Blencathra	2-6-2010	12.9	823.0
433	Otley Chevin	2-6-2010	5.6	274.0
300	Hendersons End	3-6-2010	9.3	244.0
374	Castleton	4-6-2010	9.7	457.0
560	Alwinton	5-6-2010	22.5	884.0
841	Darrens Dash	5-6-2010	8.0	274.0
242	Duddon	5-6-2010	29.0	1829.0
686	Glas Tulaichean Uphill Race	5-6-2010	7.2	671.0
